Latitude,Longitude,Total damaged Property in 2003,Name,Destroyed,Heavy Damage,Medium Damage,Light Damage,Superficial,Total Dead,Electricity Supply,Gas Supply,Discription
-35.357,149.042,96,Chapman,77,2,3,11,3,,No Electricity,No Gas,
-35.1918,149.0424,4,Curtin,3,1,0,0,0,,No Electricity,Gas Supply,
-35.337,149.032,232,Duffy,221,2,1,6,2,4,No Electricity,No Gas,"Alison Tener, 38, Peter Brooke, 74, and Douglas Fraser, 60, and Dorothy McGrath, 76, of the Mount Stromlo Forestry Settlement."
-35.12258,149.053,2,Giralang,1,0,0,0,0,,Electricity Supply,No Gas,
-35.337,149.044,36,Holder,35,1,0,0,0,,No Electricity,No Gas,
-35.379,149.046,36,Kambah,28,4,0,2,2,,No Electricity,Gas Supply,
-35.34,149.076,4,Lyons,4,0,0,0,0,,No Electricity,Gas Supply,
-35.347,149.036,13,Rivett,13,0,0,0,0,,No Electricity,No Gas,
-35.372,149.086,2,Torrens,2,0,0,0,0,,No Electricity,Gas Supply,
-35.341,149.052,6,Weston,6,0,0,0,0,,No Electricity,No Gas,
-35.415,149.066,0,Tuggeranong,,,,,,,No Electricity,Gas Supply,
-35.53166,149.06611,0,Namadgi National Park,,,,,,,,,Two fires continued to burn out of control in the Namadgi National Park
-35.245,148.951,0,Uriarra,,,,,,,,,Small forestry settlement were reported destroyed
-35.3167,149.0167,0,Mount Stromlo,,,,,,,,,
-35.435,149.126,0,Tharwa,,,,,,,No Electricity,Gas Supply,"The fire threatened the historic Lanyon Homestead, which was hosting a wedding and protected by only a single fire truck"
-35.221139,149.04132,0,Mont Taylor,,,,,,,,,
