Latitude,Longitude,Area Burnt,Name,Total death,Bulding destroyed,Fire
-36.716667,142.199997,5700,Horsham,0,13,Remlaw fire
-37.6,141.7,770,Coleraine,0,1,
-36.757786,144.278702,384,Bendigo,1,61,Maiden Gully/Bracewell Street fire
-38.2556751,143.2470059,13000,Weerite,0,0,
-37.0167,144.5167,"10,000",Redesdale,0,14,
-37.29287,144.951263,125383,Kilmore East,119,125383,Kilmore East fire
-37.88461,145.29539,163,Upper Ferntree Gully,0,7,Upper Ferntree Gully fire
-37.987461,145.214859,5,Dandenong,0,0,Upper Ferntree Gully fire
-37.3333,145.5,168542,Murrindindi,40,538,Murrindindi Mill fire
-38.0833,145.7167,24500,Bunyip,0,24,Bunyip State Park fire
-38.31342,146.419579,25861,Churchill,11,145,Churchill-Jeeralang fire
-36.3592906,146.6872665,33577,Beechworth-Library Rd,2,38,Mudgegonga fire
